,Unnamed: 0,rooms,type,price,date,distance,bedrooms,bathrooms,car,land_area,building_area,year_built,council_area,region,month,quarter
95,171,3,h,840000.0,2017-03-18,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay,Western,Mar,Q1
96,175,3,u,577000.0,2016-04-23,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,Western,Apr,Q2
97,179,2,h,857000.0,2016-11-27,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay,Western,Nov,Q4
98,185,2,h,535600.0,2016-07-30,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay,Western,Jul,Q3
99,186,5,h,1085000.0,2016-03-09,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay,Western,Mar,Q1
100,187,3,h,781000.0,2016-03-09,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay,Western,Mar,Q1
101,189,2,t,421000.0,2017-04-03,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,Western,Apr,Q2
102,191,3,h,683000.0,2016-04-06,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay,Western,Apr,Q2
103,194,3,h,588000.0,2016-07-05,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay,Western,Jul,Q3
104,195,3,h,710000.0,2016-07-11,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay,Western,Jul,Q3
105,196,4,h,875000.0,2016-08-10,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay,Western,Aug,Q3
106,200,3,h,675000.0,2016-05-14,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay,Western,May,Q2
107,201,3,h,708000.0,2016-10-15,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay,Western,Oct,Q4
109,206,4,h,693000.0,2016-05-22,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay,Western,May,Q2
110,207,3,h,620000.0,2016-08-22,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay,Western,Aug,Q3
111,208,3,h,728500.0,2016-08-22,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay,Western,Aug,Q3
112,209,3,h,931000.0,2016-08-22,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay,Western,Aug,Q3
113,213,3,h,815000.0,2017-02-25,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay,Western,Feb,Q1
114,217,4,h,1200000.0,2016-11-27,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay,Western,Nov,Q4
115,220,2,u,292000.0,2016-08-28,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay,Western,Aug,Q3
116,224,3,t,1205000.0,2016-03-12,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,Stonnington,Southern,Mar,Q1
117,225,3,h,1939000.0,2016-03-12,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington,Southern,Mar,Q1
118,227,3,h,1870000.0,2017-04-03,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington,Southern,Apr,Q2
119,231,3,h,2050000.0,2017-04-03,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,Stonnington,Southern,Apr,Q2
120,236,3,u,735000.0,2016-07-05,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,Stonnington,Southern,Jul,Q3
121,240,1,h,1435000.0,2016-08-10,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,Stonnington,Southern,Aug,Q3
122,245,2,h,1210000.0,2016-12-11,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,Stonnington,Southern,Dec,Q4
123,246,4,h,2801000.0,2016-12-11,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,Stonnington,Southern,Dec,Q4
124,248,3,h,1800000.0,2016-10-15,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,Stonnington,Southern,Oct,Q4
125,249,4,h,2200000.0,2016-10-15,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,Stonnington,Southern,Oct,Q4
126,251,6,h,5525000.0,2016-09-17,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,Stonnington,Southern,Sep,Q3
127,259,3,h,1300000.0,2016-06-18,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,Stonnington,Southern,Jun,Q2
128,263,3,h,1900000.0,2016-05-22,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,Stonnington,Southern,May,Q2
129,266,2,u,710000.0,2017-02-25,6.3,2.0,1.0,1.0,2471.0,80.0,1970.0,Stonnington,Southern,Feb,Q1
130,269,3,h,1285000.0,2017-02-25,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,Stonnington,Southern,Feb,Q1
131,272,4,h,3625000.0,2016-11-27,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,Stonnington,Southern,Nov,Q4
132,273,4,h,4200000.0,2016-11-27,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,Stonnington,Southern,Nov,Q4
133,275,3,h,3512500.0,2016-11-27,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,Stonnington,Southern,Nov,Q4
134,284,3,h,940000.0,2016-03-12,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,Moonee Valley,Western,Mar,Q1
135,286,3,h,1380000.0,2017-04-03,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,Moonee Valley,Western,Apr,Q2
136,287,2,u,490000.0,2017-04-03,5.9,2.0,1.0,1.0,423.0,62.0,1970.0,Moonee Valley,Western,Apr,Q2
137,288,4,h,1850000.0,2017-04-03,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,Moonee Valley,Western,Apr,Q2
138,290,3,h,971000.0,2016-04-06,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,Moonee Valley,Western,Apr,Q2
139,291,2,h,710000.0,2016-04-06,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,Moonee Valley,Western,Apr,Q2
140,292,6,h,2425000.0,2016-04-06,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,Moonee Valley,Western,Apr,Q2
141,293,2,h,750000.0,2016-04-06,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,Moonee Valley,Western,Apr,Q2
142,294,2,h,1053000.0,2016-06-08,5.9,2.0,1.0,1.0,269.0,109.0,1900.0,Moonee Valley,Western,Jun,Q2
143,295,3,h,1377000.0,2016-06-08,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,Moonee Valley,Western,Jun,Q2
144,296,3,h,970000.0,2016-07-05,5.9,3.0,1.0,2.0,350.0,125.0,1904.0,Moonee Valley,Western,Jul,Q3
145,298,2,h,751000.0,2016-07-05,5.9,2.0,1.0,1.0,118.0,79.0,1890.0,Moonee Valley,Western,Jul,Q3
146,299,2,h,950000.0,2016-07-05,5.9,2.0,1.0,1.0,173.0,102.0,1900.0,Moonee Valley,Western,Jul,Q3
147,300,2,u,685000.0,2016-07-11,5.9,2.0,1.0,2.0,228.0,90.0,1995.0,Moonee Valley,Western,Jul,Q3
148,301,3,h,1230000.0,2016-08-10,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,Moonee Valley,Western,Aug,Q3
149,304,2,h,770000.0,2016-10-09,5.9,2.0,1.0,1.0,226.0,87.0,1900.0,Moonee Valley,Western,Oct,Q4
150,306,4,h,890000.0,2016-10-12,5.9,4.0,1.0,1.0,300.0,185.0,1890.0,Moonee Valley,Western,Oct,Q4
151,308,3,h,1440000.0,2017-11-02,5.9,3.0,1.0,1.0,487.0,131.0,1900.0,Moonee Valley,Western,Nov,Q4
152,312,3,h,1000000.0,2016-12-11,5.9,3.0,2.0,2.0,440.0,120.0,1955.0,Moonee Valley,Western,Dec,Q4
153,313,3,h,1435000.0,2016-12-11,5.9,3.0,2.0,2.0,532.0,147.0,1950.0,Moonee Valley,Western,Dec,Q4
154,315,3,h,1425000.0,2016-08-13,5.9,3.0,2.0,2.0,495.0,139.0,1920.0,Moonee Valley,Western,Aug,Q3
155,316,4,h,1340000.0,2016-05-14,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,Moonee Valley,Western,May,Q2
156,317,3,h,955000.0,2016-05-14,5.9,3.0,1.0,1.0,263.0,117.0,1910.0,Moonee Valley,Western,May,Q2
157,318,4,h,1100000.0,2016-10-15,5.9,4.0,2.0,5.0,559.0,195.0,1920.0,Moonee Valley,Western,Oct,Q4
158,321,4,h,1640000.0,2016-04-16,5.9,4.0,3.0,2.0,562.0,204.0,1890.0,Moonee Valley,Western,Apr,Q2
159,322,6,h,1430000.0,2016-04-16,5.9,4.0,2.0,1.0,461.0,286.0,1900.0,Moonee Valley,Western,Apr,Q2
160,323,2,u,610000.0,2016-04-16,5.9,2.0,1.0,1.0,301.0,104.0,1995.0,Moonee Valley,Western,Apr,Q2
161,324,3,h,940000.0,2016-04-16,5.9,3.0,3.0,1.0,491.0,127.0,1950.0,Moonee Valley,Western,Apr,Q2
162,325,3,h,890000.0,2016-07-16,5.9,3.0,1.0,1.0,242.0,110.0,1920.0,Moonee Valley,Western,Jul,Q3
163,326,3,h,1180000.0,2016-09-17,5.9,3.0,2.0,2.0,617.0,149.0,1930.0,Moonee Valley,Western,Sep,Q3
164,327,4,h,1480000.0,2016-09-17,5.9,4.0,2.0,2.0,597.0,180.0,1939.0,Moonee Valley,Western,Sep,Q3
165,331,2,t,865000.0,2017-03-18,5.9,2.0,2.0,1.0,146.0,132.0,2015.0,Moonee Valley,Western,Mar,Q1
166,335,3,h,1037500.0,2016-11-19,5.9,3.0,1.0,2.0,506.0,110.0,1920.0,Moonee Valley,Western,Nov,Q4
167,336,3,t,1050000.0,2016-11-19,5.9,3.0,2.0,2.0,318.0,160.0,2013.0,Moonee Valley,Western,Nov,Q4
168,339,4,h,1430000.0,2016-05-22,5.9,4.0,2.0,0.0,418.0,158.0,1900.0,Moonee Valley,Western,May,Q2
169,343,3,h,1130000.0,2016-04-23,5.9,3.0,2.0,1.0,272.0,157.0,1900.0,Moonee Valley,Western,Apr,Q2
170,344,3,h,1135000.0,2016-09-24,5.9,3.0,1.0,1.0,296.0,104.0,1910.0,Moonee Valley,Western,Sep,Q3
171,345,4,h,950000.0,2016-09-24,5.9,4.0,2.0,1.0,298.0,147.0,1920.0,Moonee Valley,Western,Sep,Q3
172,347,2,u,390000.0,2017-02-25,5.9,2.0,1.0,1.0,1957.0,69.0,2012.0,Moonee Valley,Western,Feb,Q1
173,348,4,h,1345000.0,2017-02-25,5.9,4.0,1.0,1.0,552.0,155.0,1920.0,Moonee Valley,Western,Feb,Q1
174,349,3,h,1381500.0,2017-02-25,5.9,3.0,2.0,2.0,416.0,168.0,1900.0,Moonee Valley,Western,Feb,Q1
175,350,3,h,940000.0,2016-07-26,5.9,3.0,2.0,2.0,285.0,172.0,2011.0,Moonee Valley,Western,Jul,Q3
176,351,3,h,995000.0,2016-07-26,5.9,3.0,2.0,1.0,314.0,177.0,2010.0,Moonee Valley,Western,Jul,Q3
177,353,3,h,786000.0,2016-07-26,5.9,3.0,2.0,1.0,576.0,120.0,1940.0,Moonee Valley,Western,Jul,Q3
178,354,2,h,705000.0,2016-06-27,5.9,2.0,1.0,3.0,252.0,108.0,1910.0,Moonee Valley,Western,Jun,Q2
179,355,2,h,760000.0,2016-06-27,5.9,2.0,1.0,1.0,124.0,77.0,1900.0,Moonee Valley,Western,Jun,Q2
180,357,3,t,1000000.0,2016-11-27,5.9,3.0,2.0,2.0,200.0,144.0,2003.0,Moonee Valley,Western,Nov,Q4
181,362,3,h,1305000.0,2016-05-28,5.9,2.0,1.0,1.0,278.0,166.0,1900.0,Moonee Valley,Western,May,Q2
182,365,3,h,1215000.0,2016-08-28,5.9,3.0,1.0,1.0,452.0,175.0,1960.0,Moonee Valley,Western,Aug,Q3
183,366,2,u,545000.0,2016-08-28,5.9,2.0,1.0,2.0,194.0,71.0,1900.0,Moonee Valley,Western,Aug,Q3
184,367,4,h,1705000.0,2016-07-30,5.9,4.0,2.0,4.0,598.0,273.0,2012.0,Moonee Valley,Western,Jul,Q3
185,370,4,h,2650000.0,2016-03-09,11.0,4.0,3.0,2.0,753.0,399.0,2015.0,Boroondara,Southern,Mar,Q1
186,371,3,h,1670000.0,2016-03-12,11.0,3.0,2.0,2.0,599.0,220.0,1930.0,Boroondara,Southern,Mar,Q1
187,373,3,t,2050000.0,2016-03-12,11.0,3.0,3.0,4.0,310.0,315.0,2014.0,Boroondara,Southern,Mar,Q1
188,376,3,h,1555000.0,2016-04-06,11.0,3.0,2.0,2.0,731.0,149.0,1935.0,Boroondara,Southern,Apr,Q2
189,377,3,h,1100000.0,2016-08-10,11.0,3.0,3.0,2.0,276.0,178.0,2004.0,Boroondara,Southern,Aug,Q3
190,378,3,h,1337000.0,2016-08-10,11.0,3.0,1.0,2.0,583.0,112.0,1950.0,Boroondara,Southern,Aug,Q3
191,379,8,h,2950000.0,2016-10-09,11.0,9.0,7.0,4.0,1472.0,618.0,2009.0,Boroondara,Southern,Oct,Q4
192,381,3,h,1518000.0,2016-10-09,11.0,3.0,2.0,2.0,516.0,145.0,1920.0,Boroondara,Southern,Oct,Q4
193,382,3,h,1710000.0,2016-10-12,11.0,3.0,1.0,2.0,806.0,101.0,1950.0,Boroondara,Southern,Oct,Q4
194,383,3,h,1655000.0,2016-10-12,11.0,3.0,1.0,3.0,780.0,152.0,1940.0,Boroondara,Southern,Oct,Q4
195,384,4,h,1550000.0,2016-12-11,11.0,4.0,2.0,2.0,780.0,180.0,1938.0,Boroondara,Southern,Dec,Q4
196,385,3,h,1662000.0,2016-05-14,11.0,3.0,2.0,2.0,351.0,228.0,2006.0,Boroondara,Southern,May,Q2
197,386,3,h,1665000.0,2016-10-15,11.0,3.0,2.0,3.0,702.0,145.0,1945.0,Boroondara,Southern,Oct,Q4
198,388,5,h,3510000.0,2017-03-18,11.0,5.0,5.0,2.0,755.0,444.0,2015.0,Boroondara,Southern,Mar,Q1
199,390,3,t,900000.0,2016-11-19,11.0,3.0,2.0,2.0,153.0,110.0,1990.0,Boroondara,Southern,Nov,Q4
200,392,5,h,2752000.0,2016-08-22,11.0,6.0,4.0,2.0,1075.0,390.0,2010.0,Boroondara,Southern,Aug,Q3
201,393,3,h,1500000.0,2016-08-22,11.0,3.0,2.0,2.0,710.0,139.0,1945.0,Boroondara,Southern,Aug,Q3
202,394,4,h,1800000.0,2017-02-25,11.0,4.0,2.0,4.0,749.0,206.0,1950.0,Boroondara,Southern,Feb,Q1
203,395,3,h,1830000.0,2017-02-25,11.0,3.0,2.0,3.0,724.0,168.0,1940.0,Boroondara,Southern,Feb,Q1
204,396,3,h,1415000.0,2016-06-27,11.0,3.0,1.0,1.0,605.0,111.0,1950.0,Boroondara,Southern,Jun,Q2
205,397,2,h,1440000.0,2016-06-27,11.0,2.0,1.0,1.0,687.0,104.0,1940.0,Boroondara,Southern,Jun,Q2
206,398,4,t,1250000.0,2016-11-27,11.0,4.0,2.0,2.0,321.0,199.0,2007.0,Boroondara,Southern,Nov,Q4
207,400,5,h,1600000.0,2016-11-27,11.0,5.0,3.0,4.0,700.0,266.0,1950.0,Boroondara,Southern,Nov,Q4
208,401,4,h,1860000.0,2016-11-27,11.0,4.0,2.0,3.0,696.0,274.0,2000.0,Boroondara,Southern,Nov,Q4
